Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR18306565_1	(1, 21.617242990925774)	(2, 21.617242990925774)	(3, 21.617242990925774)	(4, 21.617242990925774)	(5, 21.617242990925774)	(6, 21.617242990925774)	(7, 21.617242990925774)	(8, 21.617242990925774)	(9, 21.617242990925774)	(10, 21.617242990925774)	(11, 21.617242990925774)	(12, 21.617242990925774)	(13, 21.617242990925774)	(14, 21.617242990925774)	(15, 21.617242990925774)	(16, 21.617242990925774)	(17, 21.617242990925774)	(18, 21.617242990925774)	(19, 21.617242990925774)	(20, 21.617242990925774)	(21, 21.617242990925774)	(22, 21.617242990925774)	(23, 21.617242990925774)	(24, 21.617242990925774)	(25, 21.617242990925774)	(26, 21.617242990925774)	(27, 21.617242990925774)	(28, 21.617242990925774)																						
SRR18306565_2	(1, 29.3943131978574)	(2, 29.3943131978574)	(3, 29.3943131978574)	(4, 29.3943131978574)	(5, 29.3943131978574)	(6, 29.3943131978574)	(7, 29.3943131978574)	(8, 29.3943131978574)	(9, 29.3943131978574)	(10, 29.3943131978574)	(11, 29.3943131978574)	(12, 29.3943131978574)	(13, 29.3943131978574)	(14, 29.3943131978574)	(15, 29.3943131978574)	(16, 29.3943131978574)	(17, 29.3943131978574)	(18, 29.3943131978574)	(19, 29.3943131978574)	(20, 29.3943131978574)	(21, 29.3943131978574)	(22, 29.3943131978574)	(23, 29.3943131978574)	(24, 29.3943131978574)	(25, 29.3943131978574)	(26, 29.3943131978574)	(27, 29.3943131978574)	(28, 29.3943131978574)	(29, 29.40859086634239)	(30, 29.40860199377488)	(31, 29.408659856574975)	(32, 29.408773357419353)	(33, 29.40882009334473)	(34, 29.408849025190953)	(35, 29.408913565691734)	(36, 29.408940272198127)	(37, 29.408955851018465)	(38, 29.4089980368701)	(39, 29.40903847980301)	(40, 29.40907718015039)	(41, 29.409117740111547)	(42, 29.409200743846892)	(43, 29.40926990625716)	(44, 29.40929467278333)	(45, 29.40916207816455)	(46, 29.408786939879434)	(47, 29.406919044934597)	(48, 29.39754669308669)	(49, 29.36794995257585)	(50, 29.303122887423083)
SRR18306566_1	(1, 21.61823555325739)	(2, 21.61823555325739)	(3, 21.61823555325739)	(4, 21.61823555325739)	(5, 21.61823555325739)	(6, 21.61823555325739)	(7, 21.61823555325739)	(8, 21.61823555325739)	(9, 21.61823555325739)	(10, 21.61823555325739)	(11, 21.61823555325739)	(12, 21.61823555325739)	(13, 21.61823555325739)	(14, 21.61823555325739)	(15, 21.61823555325739)	(16, 21.61823555325739)	(17, 21.61823555325739)	(18, 21.61823555325739)	(19, 21.61823555325739)	(20, 21.61823555325739)	(21, 21.61823555325739)	(22, 21.61823555325739)	(23, 21.61823555325739)	(24, 21.61823555325739)	(25, 21.61823555325739)	(26, 21.61823555325739)	(27, 21.61823555325739)	(28, 21.61823555325739)																						
SRR18306566_2	(1, 29.483456576280165)	(2, 29.483456576280165)	(3, 29.483456576280165)	(4, 29.483456576280165)	(5, 29.483456576280165)	(6, 29.483456576280165)	(7, 29.483456576280165)	(8, 29.483456576280165)	(9, 29.483456576280165)	(10, 29.483456576280165)	(11, 29.483456576280165)	(12, 29.483456576280165)	(13, 29.483456576280165)	(14, 29.483456576280165)	(15, 29.483456576280165)	(16, 29.483456576280165)	(17, 29.483456576280165)	(18, 29.483456576280165)	(19, 29.483456576280165)	(20, 29.483456576280165)	(21, 29.483456576280165)	(22, 29.483456576280165)	(23, 29.483456576280165)	(24, 29.483456576280165)	(25, 29.483456576280165)	(26, 29.483456576280165)	(27, 29.483456576280165)	(28, 29.483456576280165)	(29, 29.490589408336252)	(30, 29.4906269713513)	(31, 29.490640228911456)	(32, 29.490664534472877)	(33, 29.490688840078896)	(34, 29.490697678492143)	(35, 29.490717564943516)	(36, 29.490717564943516)	(37, 29.49072640337593)	(38, 29.490730737637367)	(39, 29.490731205630574)	(40, 29.49074280749624)	(41, 29.4907575621709)	(42, 29.49078569622002)	(43, 29.49077992968042)	(44, 29.490772943244508)	(45, 29.4906569447244)	(46, 29.490349516855478)	(47, 29.48858946830339)	(48, 29.47989343765693)	(49, 29.452989030821506)	(50, 29.400627217151843)
SRR18306567_1	(1, 21.61454336294218)	(2, 21.61454336294218)	(3, 21.61454336294218)	(4, 21.61454336294218)	(5, 21.61454336294218)	(6, 21.61454336294218)	(7, 21.61454336294218)	(8, 21.61454336294218)	(9, 21.61454336294218)	(10, 21.61454336294218)	(11, 21.61454336294218)	(12, 21.61454336294218)	(13, 21.61454336294218)	(14, 21.61454336294218)	(15, 21.61454336294218)	(16, 21.61454336294218)	(17, 21.61454336294218)	(18, 21.61454336294218)	(19, 21.61454336294218)	(20, 21.61454336294218)	(21, 21.61454336294218)	(22, 21.61454336294218)	(23, 21.61454336294218)	(24, 21.61454336294218)	(25, 21.61454336294218)	(26, 21.61454336294218)	(27, 21.61454336294218)	(28, 21.61454336294218)																						
SRR18306567_2	(1, 29.473766693721444)	(2, 29.473766693721444)	(3, 29.473766693721444)	(4, 29.473766693721444)	(5, 29.473766693721444)	(6, 29.473766693721444)	(7, 29.473766693721444)	(8, 29.473766693721444)	(9, 29.473766693721444)	(10, 29.473766693721444)	(11, 29.473766693721444)	(12, 29.473766693721444)	(13, 29.473766693721444)	(14, 29.473766693721444)	(15, 29.473766693721444)	(16, 29.473766693721444)	(17, 29.473766693721444)	(18, 29.473766693721444)	(19, 29.473766693721444)	(20, 29.473766693721444)	(21, 29.473766693721444)	(22, 29.473766693721444)	(23, 29.473766693721444)	(24, 29.473766693721444)	(25, 29.473766693721444)	(26, 29.473766693721444)	(27, 29.473766693721444)	(28, 29.473766693721444)	(29, 29.48182157581767)	(30, 29.48182826055348)	(31, 29.48186391253482)	(32, 29.481881738561484)	(33, 29.481895108097234)	(34, 29.481919618947835)	(35, 29.481944129843807)	(36, 29.481950814641493)	(37, 29.481959684120927)	(38, 29.481993021011935)	(39, 29.48200464723545)	(40, 29.482015581640795)	(41, 29.482027835283866)	(42, 29.482055159833152)	(43, 29.482066032869163)	(44, 29.482064491693933)	(45, 29.481927243187428)	(46, 29.481588792585164)	(47, 29.479942263074033)	(48, 29.471638131674162)	(49, 29.444622077164286)	(50, 29.39245926833644)
SRR18306568_1	(1, 21.614288049361512)	(2, 21.614288049361512)	(3, 21.614288049361512)	(4, 21.614288049361512)	(5, 21.614288049361512)	(6, 21.614288049361512)	(7, 21.614288049361512)	(8, 21.614288049361512)	(9, 21.614288049361512)	(10, 21.614288049361512)	(11, 21.614288049361512)	(12, 21.614288049361512)	(13, 21.614288049361512)	(14, 21.614288049361512)	(15, 21.614288049361512)	(16, 21.614288049361512)	(17, 21.614288049361512)	(18, 21.614288049361512)	(19, 21.614288049361512)	(20, 21.614288049361512)	(21, 21.614288049361512)	(22, 21.614288049361512)	(23, 21.614288049361512)	(24, 21.614288049361512)	(25, 21.614288049361512)	(26, 21.614288049361512)	(27, 21.614288049361512)	(28, 21.614288049361512)																						
SRR18306568_2	(1, 29.398284614479223)	(2, 29.398284614479223)	(3, 29.398284614479223)	(4, 29.398284614479223)	(5, 29.398284614479223)	(6, 29.398284614479223)	(7, 29.398284614479223)	(8, 29.398284614479223)	(9, 29.398284614479223)	(10, 29.398284614479223)	(11, 29.398284614479223)	(12, 29.398284614479223)	(13, 29.398284614479223)	(14, 29.398284614479223)	(15, 29.398284614479223)	(16, 29.398284614479223)	(17, 29.398284614479223)	(18, 29.398284614479223)	(19, 29.398284614479223)	(20, 29.398284614479223)	(21, 29.398284614479223)	(22, 29.398284614479223)	(23, 29.398284614479223)	(24, 29.398284614479223)	(25, 29.398284614479223)	(26, 29.398284614479223)	(27, 29.398284614479223)	(28, 29.398284614479223)	(29, 29.412767296523835)	(30, 29.412786572980426)	(31, 29.412833888038616)	(32, 29.412932023514532)	(33, 29.412991606123548)	(34, 29.413031912158548)	(35, 29.413100257455557)	(36, 29.41313001016846)	(37, 29.413136981041717)	(38, 29.413187724413554)	(39, 29.4132258119735)	(40, 29.413249024240038)	(41, 29.41327855486331)	(42, 29.413335730883407)	(43, 29.413375438230478)	(44, 29.413414940884852)	(45, 29.413309674946593)	(46, 29.41297778636743)	(47, 29.411029219938268)	(48, 29.402034565417434)	(49, 29.372017348808583)	(50, 29.305687829224464)
SRR18306569_1	(1, 21.608759505124503)	(2, 21.608759505124503)	(3, 21.608759505124503)	(4, 21.608759505124503)	(5, 21.608759505124503)	(6, 21.608759505124503)	(7, 21.608759505124503)	(8, 21.608759505124503)	(9, 21.608759505124503)	(10, 21.608759505124503)	(11, 21.608759505124503)	(12, 21.608759505124503)	(13, 21.608759505124503)	(14, 21.608759505124503)	(15, 21.608759505124503)	(16, 21.608759505124503)	(17, 21.608759505124503)	(18, 21.608759505124503)	(19, 21.608759505124503)	(20, 21.608759505124503)	(21, 21.608759505124503)	(22, 21.608759505124503)	(23, 21.608759505124503)	(24, 21.608759505124503)	(25, 21.608759505124503)	(26, 21.608759505124503)	(27, 21.608759505124503)	(28, 21.608759505124503)																						
SRR18306569_2	(1, 29.5013293138844)	(2, 29.5013293138844)	(3, 29.5013293138844)	(4, 29.5013293138844)	(5, 29.5013293138844)	(6, 29.5013293138844)	(7, 29.5013293138844)	(8, 29.5013293138844)	(9, 29.5013293138844)	(10, 29.5013293138844)	(11, 29.5013293138844)	(12, 29.5013293138844)	(13, 29.5013293138844)	(14, 29.5013293138844)	(15, 29.5013293138844)	(16, 29.5013293138844)	(17, 29.5013293138844)	(18, 29.5013293138844)	(19, 29.5013293138844)	(20, 29.5013293138844)	(21, 29.5013293138844)	(22, 29.5013293138844)	(23, 29.5013293138844)	(24, 29.5013293138844)	(25, 29.5013293138844)	(26, 29.5013293138844)	(27, 29.5013293138844)	(28, 29.5013293138844)	(29, 29.50850069605157)	(30, 29.508545964670667)	(31, 29.508573822359267)	(32, 29.508591233444374)	(33, 29.50861735011492)	(34, 29.50862953791212)	(35, 29.508657395776375)	(36, 29.50867132473046)	(37, 29.508674806971268)	(38, 29.508674774700456)	(39, 29.50867644978268)	(40, 29.50868270139581)	(41, 29.50867432959654)	(42, 29.508702959591524)	(43, 29.50871431980733)	(44, 29.508715369581655)	(45, 29.50863698012692)	(46, 29.50833391065849)	(47, 29.50665070123698)	(48, 29.498329030022354)	(49, 29.47209958864203)	(50, 29.421531268868538)
SRR18306570_1	(1, 21.611914044477253)	(2, 21.611914044477253)	(3, 21.611914044477253)	(4, 21.611914044477253)	(5, 21.611914044477253)	(6, 21.611914044477253)	(7, 21.611914044477253)	(8, 21.611914044477253)	(9, 21.611914044477253)	(10, 21.611914044477253)	(11, 21.611914044477253)	(12, 21.611914044477253)	(13, 21.611914044477253)	(14, 21.611914044477253)	(15, 21.611914044477253)	(16, 21.611914044477253)	(17, 21.611914044477253)	(18, 21.611914044477253)	(19, 21.611914044477253)	(20, 21.611914044477253)	(21, 21.611914044477253)	(22, 21.611914044477253)	(23, 21.611914044477253)	(24, 21.611914044477253)	(25, 21.611914044477253)	(26, 21.611914044477253)	(27, 21.611914044477253)	(28, 21.611914044477253)																						
SRR18306570_2	(1, 29.48066927480248)	(2, 29.48066927480248)	(3, 29.48066927480248)	(4, 29.48066927480248)	(5, 29.48066927480248)	(6, 29.48066927480248)	(7, 29.48066927480248)	(8, 29.48066927480248)	(9, 29.48066927480248)	(10, 29.48066927480248)	(11, 29.48066927480248)	(12, 29.48066927480248)	(13, 29.48066927480248)	(14, 29.48066927480248)	(15, 29.48066927480248)	(16, 29.48066927480248)	(17, 29.48066927480248)	(18, 29.48066927480248)	(19, 29.48066927480248)	(20, 29.48066927480248)	(21, 29.48066927480248)	(22, 29.48066927480248)	(23, 29.48066927480248)	(24, 29.48066927480248)	(25, 29.48066927480248)	(26, 29.48066927480248)	(27, 29.48066927480248)	(28, 29.48066927480248)	(29, 29.488600874753747)	(30, 29.488600874753747)	(31, 29.488630734779917)	(32, 29.488650056009195)	(33, 29.488655325440256)	(34, 29.488688698552313)	(35, 29.48871153283533)	(36, 29.488722071748462)	(37, 29.48873261066998)	(38, 29.488760612799595)	(39, 29.48876607935191)	(40, 29.488771404032377)	(41, 29.48879101121688)	(42, 29.48882254384537)	(43, 29.48883976964017)	(44, 29.48882268142357)	(45, 29.48871302081398)	(46, 29.488381491210344)	(47, 29.486676040704435)	(48, 29.478638175029882)	(49, 29.45176811132352)	(50, 29.399790493791613)
SRR18306571_1	(1, 21.61549261411073)	(2, 21.61549261411073)	(3, 21.61549261411073)	(4, 21.61549261411073)	(5, 21.61549261411073)	(6, 21.61549261411073)	(7, 21.61549261411073)	(8, 21.61549261411073)	(9, 21.61549261411073)	(10, 21.61549261411073)	(11, 21.61549261411073)	(12, 21.61549261411073)	(13, 21.61549261411073)	(14, 21.61549261411073)	(15, 21.61549261411073)	(16, 21.61549261411073)	(17, 21.61549261411073)	(18, 21.61549261411073)	(19, 21.61549261411073)	(20, 21.61549261411073)	(21, 21.61549261411073)	(22, 21.61549261411073)	(23, 21.61549261411073)	(24, 21.61549261411073)	(25, 21.61549261411073)	(26, 21.61549261411073)	(27, 21.61549261411073)	(28, 21.61549261411073)																						
SRR18306571_2	(1, 29.492953765382968)	(2, 29.492953765382968)	(3, 29.492953765382968)	(4, 29.492953765382968)	(5, 29.492953765382968)	(6, 29.492953765382968)	(7, 29.492953765382968)	(8, 29.492953765382968)	(9, 29.492953765382968)	(10, 29.492953765382968)	(11, 29.492953765382968)	(12, 29.492953765382968)	(13, 29.492953765382968)	(14, 29.492953765382968)	(15, 29.492953765382968)	(16, 29.492953765382968)	(17, 29.492953765382968)	(18, 29.492953765382968)	(19, 29.492953765382968)	(20, 29.492953765382968)	(21, 29.492953765382968)	(22, 29.492953765382968)	(23, 29.492953765382968)	(24, 29.492953765382968)	(25, 29.492953765382968)	(26, 29.492953765382968)	(27, 29.492953765382968)	(28, 29.492953765382968)	(29, 29.505926209972117)	(30, 29.505969909696116)	(31, 29.50600075664687)	(32, 29.506126715774272)	(33, 29.5062321110661)	(34, 29.5062680998943)	(35, 29.50637863762053)	(36, 29.506394061562602)	(37, 29.50639663222136)	(38, 29.506406866991416)	(39, 29.506433229596958)	(40, 29.506475768494102)	(41, 29.50648873641407)	(42, 29.506550170057388)	(43, 29.506608019247032)	(44, 29.50665023094185)	(45, 29.50658612041586)	(46, 29.506321256388503)	(47, 29.504708525191877)	(48, 29.496340260018297)	(49, 29.46996710199411)	(50, 29.418621566322553)
SRR18306572_1	(1, 21.622435236359784)	(2, 21.622435236359784)	(3, 21.622435236359784)	(4, 21.622435236359784)	(5, 21.622435236359784)	(6, 21.622435236359784)	(7, 21.622435236359784)	(8, 21.622435236359784)	(9, 21.622435236359784)	(10, 21.622435236359784)	(11, 21.622435236359784)	(12, 21.622435236359784)	(13, 21.622435236359784)	(14, 21.622435236359784)	(15, 21.622435236359784)	(16, 21.622435236359784)	(17, 21.622435236359784)	(18, 21.622435236359784)	(19, 21.622435236359784)	(20, 21.622435236359784)	(21, 21.622435236359784)	(22, 21.622435236359784)	(23, 21.622435236359784)	(24, 21.622435236359784)	(25, 21.622435236359784)	(26, 21.622435236359784)	(27, 21.622435236359784)	(28, 21.622435236359784)																						
SRR18306572_2	(1, 29.42719041219496)	(2, 29.42719041219496)	(3, 29.42719041219496)	(4, 29.42719041219496)	(5, 29.42719041219496)	(6, 29.42719041219496)	(7, 29.42719041219496)	(8, 29.42719041219496)	(9, 29.42719041219496)	(10, 29.42719041219496)	(11, 29.42719041219496)	(12, 29.42719041219496)	(13, 29.42719041219496)	(14, 29.42719041219496)	(15, 29.42719041219496)	(16, 29.42719041219496)	(17, 29.42719041219496)	(18, 29.42719041219496)	(19, 29.42719041219496)	(20, 29.42719041219496)	(21, 29.42719041219496)	(22, 29.42719041219496)	(23, 29.42719041219496)	(24, 29.42719041219496)	(25, 29.42719041219496)	(26, 29.42719041219496)	(27, 29.42719041219496)	(28, 29.42719041219496)	(29, 29.44158420545159)	(30, 29.441607467262546)	(31, 29.441651406350466)	(32, 29.44176513172673)	(33, 29.441842672316884)	(34, 29.441865934582612)	(35, 29.441956399338423)	(36, 29.441974437816516)	(37, 29.44198213743198)	(38, 29.442015738856774)	(39, 29.4420501798183)	(40, 29.442066276524915)	(41, 29.44212365285512)	(42, 29.44216197953876)	(43, 29.442228931493478)	(44, 29.442264876861422)	(45, 29.44217271521909)	(46, 29.441797971438458)	(47, 29.440026871425328)	(48, 29.430916202757334)	(49, 29.40188223037288)	(50, 29.339589431034536)
