Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
SRR18306572_2	(28, 5572.0)	(29, 9.0)	(30, 17.0)	(31, 44.0)	(32, 30.0)	(33, 9.0)	(34, 35.0)	(35, 8.0)	(36, 4.0)	(37, 13.0)	(38, 46.0)	(39, 92.0)	(40, 545.0)	(41, 120.0)	(42, 660.0)	(43, 1374.0)	(44, 4013.0)	(45, 10491.0)	(46, 50286.0)	(47, 236139.0)	(48, 669545.0)	(49, 2386367.0)	(50, 6870417.0)
SRR18306573_1	(28, 10329181.0)																						
SRR18306573_2	(28, 2714.0)	(29, 10.0)	(30, 10.0)	(31, 13.0)	(32, 11.0)	(33, 8.0)	(34, 18.0)	(35, 2.0)	(36, 1.0)	(37, 3.0)	(38, 38.0)	(39, 91.0)	(40, 493.0)	(41, 114.0)	(42, 640.0)	(43, 1357.0)	(44, 4028.0)	(45, 10445.0)	(46, 51307.0)	(47, 238493.0)	(48, 678700.0)	(49, 2413606.0)	(50, 6927079.0)
SRR18306574_1	(28, 10246045.0)																						
SRR18306574_2	(28, 3122.0)	(29, 5.0)	(30, 7.0)	(31, 10.0)	(32, 5.0)	(33, 13.0)	(34, 10.0)	(35, 5.0)	(36, 3.0)	(37, 8.0)	(38, 32.0)	(39, 86.0)	(40, 528.0)	(41, 125.0)	(42, 589.0)	(43, 1325.0)	(44, 3979.0)	(45, 10566.0)	(46, 50410.0)	(47, 236797.0)	(48, 672416.0)	(49, 2395180.0)	(50, 6870824.0)
SRR18306575_1	(28, 13399494.0)																						
SRR18306575_2	(28, 6696.0)	(29, 42.0)	(30, 22.0)	(31, 71.0)	(32, 46.0)	(33, 9.0)	(34, 66.0)	(35, 10.0)	(36, 3.0)	(37, 8.0)	(38, 66.0)	(39, 127.0)	(40, 723.0)	(41, 154.0)	(42, 825.0)	(43, 1716.0)	(44, 5443.0)	(45, 13889.0)	(46, 66547.0)	(47, 310072.0)	(48, 880040.0)	(49, 3128217.0)	(50, 8984702.0)
SRR18306576_1	(28, 15607135.0)																						
SRR18306577_1	(28, 17257870.0)																						
SRR18306577_2	(28, 9420.0)	(29, 8.0)	(30, 24.0)	(31, 54.0)	(32, 39.0)	(33, 26.0)	(34, 57.0)	(35, 16.0)	(36, 5.0)	(37, 39.0)	(38, 93.0)	(39, 165.0)	(40, 832.0)	(41, 213.0)	(42, 986.0)	(43, 1974.0)	(44, 6889.0)	(45, 18953.0)	(46, 88443.0)	(47, 411921.0)	(48, 1139266.0)	(49, 4026971.0)	(50, 11551476.0)
SRR18306578_2	(28, 4669.0)	(29, 26.0)	(30, 25.0)	(31, 22.0)	(32, 22.0)	(33, 6.0)	(34, 8.0)	(35, 5.0)	(36, 4.0)	(37, 7.0)	(38, 65.0)	(39, 128.0)	(40, 703.0)	(41, 184.0)	(42, 946.0)	(43, 1965.0)	(44, 6987.0)	(45, 19313.0)	(46, 88906.0)	(47, 417050.0)	(48, 1155566.0)	(49, 4075432.0)	(50, 11658457.0)
SRR18306579_1	(28, 17261644.0)																						
SRR18306579_2	(28, 5181.0)	(29, 5.0)	(30, 15.0)	(31, 18.0)	(32, 6.0)	(33, 13.0)	(34, 9.0)	(35, 8.0)	(36, 6.0)	(37, 18.0)	(38, 66.0)	(39, 161.0)	(40, 784.0)	(41, 175.0)	(42, 891.0)	(43, 2017.0)	(44, 6854.0)	(45, 18946.0)	(46, 87974.0)	(47, 413799.0)	(48, 1142589.0)	(49, 4032351.0)	(50, 11549758.0)
SRR18306580_1	(28, 17155600.0)																						
