Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR18306565_2 - polya	(1, 0.034852599529734164)	(2, 0.049541563662130576)	(3, 0.06179640472442231)	(4, 0.0768643845597762)	(5, 0.08984356674327557)	(6, 0.1015340955367195)	(7, 0.11098422039712591)	(8, 0.12074598039107515)	(9, 0.13011187953971323)	(10, 0.14036214866191876)	(11, 0.14947537067525185)	(12, 0.1588075795391826)	(13, 0.16841773325194884)	(14, 0.1776488712617576)	(15, 0.18720848954746283)	(16, 0.19708816553788772)	(17, 0.20679939010477594)	(18, 0.2176223940670061)	(19, 0.22826010146334594)	(20, 0.23875462514967963)	(21, 0.24964500968132444)	(22, 0.2611333967665244)	(23, 0.2731776735493953)	(24, 0.2852640631881504)	(25, 0.29745152368102745)	(26, 0.30982428073979484)	(27, 0.32152323210441563)	(28, 0.33468771085380533)	(29, 0.3471615387666947)	(30, 0.36024179180431604)	(31, 0.3738863571107852)	(32, 0.3864444107354429)	(33, 0.39951624120188745)	(34, 0.4129586648001126)	(35, 0.4274623323666187)	(36, 0.4407615722548377)	(37, 0.4548188435489717)	(38, 0.46939831425606926)	(39, 0.48310183756077624)
SRR18306565_2 - polyg	(1, 0.264426622096666)	(2, 0.2725796709958402)	(3, 0.27617610888834776)	(4, 0.2771531271448604)	(5, 0.27834070968079383)	(6, 0.2794861793608431)	(7, 0.28085063589149)	(8, 0.28266991126568586)	(9, 0.2845818349228269)	(10, 0.28659482943409)	(11, 0.288708894799475)	(12, 0.2905787056007319)	(13, 0.29277699667788526)	(14, 0.29432674977442247)	(15, 0.2958428125862524)	(16, 0.29756101710632626)	(17, 0.299085502489333)	(18, 0.30064367815704707)	(19, 0.30227765696535264)	(20, 0.3040211291989571)	(21, 0.3055961500090248)	(22, 0.30749122852381217)	(23, 0.3092683910421239)	(24, 0.31116346955691127)	(25, 0.3130248577869913)	(26, 0.31516419086590686)	(27, 0.31665498596420627)	(28, 0.3187100933313535)	(29, 0.32047883327848836)	(30, 0.32196120580561094)	(31, 0.323569916900386)	(32, 0.3251870505663379)	(33, 0.32722531279113143)	(34, 0.329061433307681)	(35, 0.33100704724952934)	(36, 0.33264944862901175)	(37, 0.3344350337185003)	(38, 0.33659121193976954)	(39, 0.33846944531220324)
SRR18306566_2 - polya	(1, 0.034105595760966306)	(2, 0.04874014846524402)	(3, 0.060731309028635105)	(4, 0.0757244291211088)	(5, 0.08824927137855902)	(6, 0.10031548093017717)	(7, 0.10943810238800043)	(8, 0.11866912793992945)	(9, 0.1276333126448289)	(10, 0.13824023631425414)	(11, 0.14727947000738065)	(12, 0.1566355772063548)	(13, 0.16575819866417804)	(14, 0.1747557384749562)	(15, 0.1844370579562476)	(16, 0.19483551221393097)	(17, 0.20408321531879933)	(18, 0.21392297155301457)	(19, 0.22405458496366837)	(20, 0.23502841479775924)	(21, 0.24590217931421401)	(22, 0.2571678663247435)	(23, 0.26878378194699926)	(24, 0.28073324862804194)	(25, 0.2917904662268296)	(26, 0.3043403248136888)	(27, 0.3160396282006413)	(28, 0.3281308540816685)	(29, 0.3403221452803317)	(30, 0.3526718732319188)	(31, 0.36562199308932236)	(32, 0.3783136108761661)	(33, 0.3910636000982975)	(34, 0.40383026687336826)	(35, 0.41776436235419334)	(36, 0.4313649067762315)	(37, 0.44426499397481706)	(38, 0.4578905547262642)	(39, 0.4712409358542122)
SRR18306566_2 - polyg	(1, 0.29589314424990915)	(2, 0.3058746596841088)	(3, 0.3100857418012941)	(4, 0.3110280235423673)	(5, 0.31223714613047)	(6, 0.3132878319656489)	(7, 0.31448861577728193)	(8, 0.316097999635929)	(9, 0.3177157222710458)	(10, 0.31969201229435845)	(11, 0.3215182043412171)	(12, 0.32334439638807566)	(13, 0.3251789272114039)	(14, 0.3264630987877337)	(15, 0.32784733568169955)	(16, 0.3292399113521351)	(17, 0.330624148246101)	(18, 0.33206675657535456)	(19, 0.3336844792104713)	(20, 0.3352104753044216)	(21, 0.3367781652807203)	(22, 0.3384542593511248)	(23, 0.3403388228332711)	(24, 0.34211498222131165)	(25, 0.34355759055056523)	(26, 0.34548384791505987)	(27, 0.34695981135019216)	(28, 0.34869427685588433)	(29, 0.35009519130278954)	(30, 0.3514293955379374)	(31, 0.35278861610249423)	(32, 0.3541978693258691)	(33, 0.35559044499630466)	(34, 0.35719149007848205)	(35, 0.3585256943136299)	(36, 0.3600767067369892)	(37, 0.3618445273485601)	(38, 0.36348726631308587)	(39, 0.36476309911294597)
SRR18306567_2 - polya	(1, 0.03340279420976736)	(2, 0.04772789079481743)	(3, 0.059184603389555064)	(4, 0.07400598928671197)	(5, 0.08714503853265924)	(6, 0.09886251330833437)	(7, 0.1078041326095136)	(8, 0.11751962677024926)	(9, 0.1266378914198055)	(10, 0.13693379172520848)	(11, 0.14632123023895827)	(12, 0.15501049904245603)	(13, 0.1648269334022643)	(14, 0.1748704832099858)	(15, 0.18442615538885657)	(16, 0.1945958804454188)	(17, 0.20440390312197101)	(18, 0.21530544462180945)	(19, 0.22542469957883543)	(20, 0.2364019462279783)	(21, 0.24725301762828047)	(22, 0.25855831992440925)	(23, 0.26973744697169727)	(24, 0.28096704411852164)	(25, 0.2926676955276847)	(26, 0.30484781288244245)	(27, 0.31679240310603085)	(28, 0.32871175827985116)	(29, 0.34127040138113107)	(30, 0.35442627399359045)	(31, 0.367784027004195)	(32, 0.38040996357152335)	(33, 0.39326301558676496)	(34, 0.4055104264075711)	(35, 0.41956634912842766)	(36, 0.43300821897159264)	(37, 0.44632391356591694)	(38, 0.4602788960877009)	(39, 0.47380488276342636)
SRR18306567_2 - polyg	(1, 0.29602395714684787)	(2, 0.30858260024812784)	(3, 0.3126454432607991)	(4, 0.3138651373329261)	(5, 0.3149418327897003)	(6, 0.31619517359485144)	(7, 0.31759151301535543)	(8, 0.31906355758516386)	(9, 0.3209645980010308)	(10, 0.32297499029922627)	(11, 0.3247414437829964)	(12, 0.3266508958821193)	(13, 0.32886316857846004)	(14, 0.3302847430487322)	(15, 0.33169790583574826)	(16, 0.333052186839972)	(17, 0.3343139393283792)	(18, 0.3356345735995788)	(19, 0.33720755836845984)	(20, 0.33884783660338924)	(21, 0.34021052929086903)	(22, 0.3417919257430061)	(23, 0.34342379229467945)	(24, 0.34522389251147373)	(25, 0.34683052401337894)	(26, 0.3487063293794777)	(27, 0.35028772583161477)	(28, 0.3521130610981772)	(29, 0.3534505187358889)	(30, 0.35480479974011264)	(31, 0.35618431579410453)	(32, 0.35758906689786457)	(33, 0.35931346196535446)	(34, 0.36100421029982016)	(35, 0.3625267249691649)	(36, 0.3641670032040943)	(37, 0.365512872525062)	(38, 0.3670185638278946)	(39, 0.3685579018637514)
SRR18306568_2 - polya	(1, 0.03206111172816686)	(2, 0.045959786016116756)	(3, 0.05780283576720384)	(4, 0.07180097575855032)	(5, 0.08451932369952737)	(6, 0.095394240604221)	(7, 0.10414059145622763)	(8, 0.11305934952745503)	(9, 0.12226324261508596)	(10, 0.13299227648813125)	(11, 0.1417386273401379)	(12, 0.15110829660009648)	(13, 0.1605111210945206)	(14, 0.16992057663583782)	(15, 0.17953559463084134)	(16, 0.1895749996270036)	(17, 0.19889825155871046)	(18, 0.20897744283623138)	(19, 0.21939481750530068)	(20, 0.23021668603484946)	(21, 0.2412175928305121)	(22, 0.2527290902369439)	(23, 0.2642339565964826)	(24, 0.2756857745808764)	(25, 0.2873166308313841)	(26, 0.2990734769728608)	(27, 0.310863478348803)	(28, 0.3231839634761937)	(29, 0.33484134391427384)	(30, 0.3476061091835026)	(31, 0.3610803964702937)	(32, 0.3741767140841778)	(33, 0.38721335227602394)	(34, 0.39963993415370436)	(35, 0.4139364712552406)	(36, 0.4277356798397939)	(37, 0.44068611442202965)	(38, 0.45437259520940015)	(39, 0.46778057202726026)
SRR18306568_2 - polyg	(1, 0.2824494424118444)	(2, 0.29156050084297186)	(3, 0.29565848782291126)	(4, 0.2973560358275464)	(5, 0.2990734769728608)	(6, 0.3007643939306028)	(7, 0.30254814554484827)	(8, 0.30501489498908363)	(9, 0.3074285960581742)	(10, 0.3101804805188131)	(11, 0.3128925786980934)	(12, 0.31511397940728386)	(13, 0.31779292235209866)	(14, 0.3196628775759545)	(15, 0.3214201050026276)	(16, 0.3231707013824075)	(17, 0.32510696707519443)	(18, 0.32709628114312617)	(19, 0.32943704069639257)	(20, 0.33170485873383476)	(21, 0.33365438652040785)	(22, 0.3358625251358121)	(23, 0.33803087746985777)	(24, 0.34029869550729996)	(25, 0.34259966877920767)	(26, 0.34494042833247407)	(27, 0.34706236333826795)	(28, 0.349257239859886)	(29, 0.351326126490535)	(30, 0.3533088095115737)	(31, 0.355331278813971)	(32, 0.3574067964915131)	(33, 0.3595751488255587)	(34, 0.3616241423155284)	(35, 0.363792494649574)	(36, 0.3658215949988644)	(37, 0.36791700581708586)	(38, 0.3700919891980246)	(39, 0.3721476137348874)
SRR18306569_2 - polya	(1, 0.03356034114536566)	(2, 0.047290467017985414)	(3, 0.05887341395213236)	(4, 0.07352282132746218)	(5, 0.08555884271651625)	(6, 0.09640636444849512)	(7, 0.10522490057806391)	(8, 0.11435205264068536)	(9, 0.12314432358446244)	(10, 0.1334008786361277)	(11, 0.14219314957990478)	(12, 0.15091319126275463)	(13, 0.16052624926252282)	(14, 0.1696140035464567)	(15, 0.1786098296801196)	(16, 0.1885840339845239)	(17, 0.19823648976297967)	(18, 0.20828292332831122)	(19, 0.21763332947016226)	(20, 0.22814597008329676)	(21, 0.23839595883851408)	(22, 0.24885606908006516)	(23, 0.260261726010118)	(24, 0.2714966592325247)	(25, 0.283046774684432)	(26, 0.29468225199016235)	(27, 0.30597628188060044)	(28, 0.31734254103196574)	(29, 0.32910277797020676)	(30, 0.3417757301147099)	(31, 0.35455374300237996)	(32, 0.36678018698842396)	(33, 0.37923645135014544)	(34, 0.39193566868044033)	(35, 0.40502229750116303)	(36, 0.41853573559100116)	(37, 0.43149103848276527)	(38, 0.44488628323654067)	(39, 0.45740821056274145)
SRR18306569_2 - polyg	(1, 0.3024436143916146)	(2, 0.31331083501293727)	(3, 0.3172965769568302)	(4, 0.3182355573488841)	(5, 0.31932556255924033)	(6, 0.3204746644376279)	(7, 0.3217419596520782)	(8, 0.32346232932143565)	(9, 0.32530745862330374)	(10, 0.32741523978308895)	(11, 0.32938512871746767)	(12, 0.3312499569086796)	(13, 0.3336269562228299)	(14, 0.33515033699874947)	(15, 0.3366080548101897)	(16, 0.33794757928556723)	(17, 0.33938559820766373)	(18, 0.34083674972265604)	(19, 0.34255055309556554)	(20, 0.3441658620217561)	(21, 0.3457352068728112)	(22, 0.3474358776528248)	(23, 0.3490117888003278)	(24, 0.3508437855093)	(25, 0.3526232518466888)	(26, 0.3544092844805255)	(27, 0.35595236414578885)	(28, 0.35786315641213623)	(29, 0.3591961145910658)	(30, 0.36069323018119365)	(31, 0.36218377947487357)	(32, 0.36382535358685586)	(33, 0.36540126473435885)	(34, 0.3668261510635594)	(35, 0.368349531839479)	(36, 0.3699911059514613)	(37, 0.3717705722888501)	(38, 0.37334648343635307)	(39, 0.3745284167969803)
