Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR18306570_2 - polya	(1, 0.03160071021054943)	(2, 0.04514387172935633)	(3, 0.05700988206644117)	(4, 0.07118280391040062)	(5, 0.08365205834842107)	(6, 0.09464303328634659)	(7, 0.10361214612772972)	(8, 0.11270721103414336)	(9, 0.12225305175224513)	(10, 0.1326142663650181)	(11, 0.14137787846871988)	(12, 0.150346991310103)	(13, 0.1602508010551336)	(14, 0.169478447082632)	(15, 0.17903091685678799)	(16, 0.189365615245344)	(17, 0.19895785935582547)	(18, 0.2089611049416696)	(19, 0.21888480185486292)	(20, 0.22947140437347996)	(21, 0.23966689258489698)	(22, 0.2515130157538191)	(23, 0.26281555632629383)	(24, 0.27416450029114814)	(25, 0.2856062510407618)	(26, 0.297677762115528)	(27, 0.30900681891221965)	(28, 0.3205347473905384)	(29, 0.33264603280163)	(30, 0.34573841850874876)	(31, 0.3586849649826743)	(32, 0.37116084847674896)	(33, 0.3838157164842881)	(34, 0.3962120513057119)	(35, 0.40996071356220015)	(36, 0.42350387508100706)	(37, 0.4370006332074343)	(38, 0.45031840682039714)	(39, 0.4640140366284515)
SRR18306570_2 - polyg	(1, 0.3151519538744976)	(2, 0.3279460320591757)	(3, 0.33226817660653846)	(4, 0.33405802174118254)	(5, 0.33584786687582663)	(6, 0.3375250180575487)	(7, 0.33932812130430123)	(8, 0.34172783959593517)	(9, 0.34431317145708773)	(10, 0.34683221275769793)	(11, 0.34957001290809797)	(12, 0.3519365859194607)	(13, 0.3548202253030539)	(14, 0.3568155711753794)	(15, 0.3587379974311082)	(16, 0.3603488580522879)	(17, 0.36208567073849807)	(18, 0.36384237059287095)	(19, 0.3657515387364913)	(20, 0.3675413838711354)	(21, 0.3694240357905388)	(22, 0.3713729782704846)	(23, 0.37328214641410495)	(24, 0.37527749228643037)	(25, 0.3772662091027016)	(26, 0.3794471685445457)	(27, 0.3814226272487084)	(28, 0.383451118401305)	(29, 0.3851680439193525)	(30, 0.38666621058761014)	(31, 0.38840965232987457)	(32, 0.39010669067975934)	(33, 0.39177721280542716)	(34, 0.39351402549163733)	(35, 0.39548948419580005)	(36, 0.39731910366676954)	(37, 0.39927467520276955)	(38, 0.401270021075095)	(39, 0.40273504246308145)
SRR18306571_2 - polya	(1, 0.03244361068791602)	(2, 0.04653772778986699)	(3, 0.05884827023792595)	(4, 0.07301993406395918)	(5, 0.08536924987405928)	(6, 0.09655536482292545)	(7, 0.10514366451503587)	(8, 0.1145074314479689)	(9, 0.12369671825171687)	(10, 0.13410736595976042)	(11, 0.14276351903544282)	(12, 0.15214667264939644)	(13, 0.1617139997330454)	(14, 0.17103899330393732)	(15, 0.18097466732697703)	(16, 0.19089095466899617)	(17, 0.20033226832601148)	(18, 0.21080107607711673)	(19, 0.22065920337607417)	(20, 0.23154482476912158)	(21, 0.24210087258481938)	(22, 0.2537522678781791)	(23, 0.26560722332225484)	(24, 0.2773458586802071)	(25, 0.2879600665389666)	(26, 0.2996405418538572)	(27, 0.3105940166304766)	(28, 0.3226525322252682)	(29, 0.33389680721719606)	(30, 0.34646906985903264)	(31, 0.3600882132759798)	(32, 0.3727089426203678)	(33, 0.38580464564975964)	(34, 0.39844476167516824)	(35, 0.4127327455873248)	(36, 0.42612894217253544)	(37, 0.4396123788223386)	(38, 0.45350293577357365)	(39, 0.4671608525525619)
SRR18306571_2 - polyg	(1, 0.3014822765508109)	(2, 0.31177660417273106)	(3, 0.31531467345898423)	(4, 0.31624523414797134)	(5, 0.3173405816256333)	(6, 0.3184553157843158)	(7, 0.31950219655942635)	(8, 0.3211985311487258)	(9, 0.32282701235445327)	(10, 0.32480445381855094)	(11, 0.32668496187754575)	(12, 0.3283812964668452)	(13, 0.3303199645689018)	(14, 0.3316867255808516)	(15, 0.33298563320922947)	(16, 0.3343620875616896)	(17, 0.3358257819787423)	(18, 0.33726039637426414)	(19, 0.3387919441748888)	(20, 0.34031379863500316)	(21, 0.34149638617725764)	(22, 0.34289222721073837)	(23, 0.3446079484810584)	(24, 0.3463333630918887)	(25, 0.3478358308709825)	(26, 0.34993928576171385)	(27, 0.3516550070320339)	(28, 0.3533319549403128)	(29, 0.35489258276246827)	(30, 0.35631750381747984)	(31, 0.35786843829912507)	(32, 0.3594581461428114)	(33, 0.36098969394343605)	(34, 0.36256001510610186)	(35, 0.36421757633336016)	(36, 0.365720044112454)	(37, 0.3671837385295067)	(38, 0.3688606864377856)	(39, 0.37037284755738964)
SRR18306572_2 - polya	(1, 0.0324936820011575)	(2, 0.047030843401555084)	(3, 0.059242840545706284)	(4, 0.07432709941816183)	(5, 0.08683218449377267)	(6, 0.0980867610618224)	(7, 0.10720179573021686)	(8, 0.11679554068666204)	(9, 0.12603758012535565)	(10, 0.13638358410588056)	(11, 0.14565493233772014)	(12, 0.1548188149946912)	(13, 0.1645981823077275)	(14, 0.17391837852814368)	(15, 0.1835316626800195)	(16, 0.19302771165931146)	(17, 0.20242606466145022)	(18, 0.21228358875620906)	(19, 0.22262959273673397)	(20, 0.232858361544675)	(21, 0.24378077179040383)	(22, 0.2550255787607383)	(23, 0.2669737967665758)	(24, 0.2795863474170551)	(25, 0.2912317078937177)	(26, 0.30314084750869397)	(27, 0.3152160702848307)	(28, 0.3276429985787189)	(29, 0.3405877155515192)	(30, 0.35362035890375737)	(31, 0.3669460901874551)	(32, 0.37972472399909496)	(33, 0.39264013217874927)	(34, 0.40551646196754226)	(35, 0.42020016733366966)	(36, 0.43418046166429397)	(37, 0.44798490323604245)	(38, 0.46237552067071025)	(39, 0.4759650310927217)
SRR18306572_2 - polyg	(1, 0.2637302903250892)	(2, 0.2719269828082435)	(3, 0.2758934394806638)	(4, 0.2770950999996483)	(5, 0.2781990645414796)	(6, 0.2791662547152963)	(7, 0.2805144592000106)	(8, 0.2820873644321773)	(9, 0.28382635282550445)	(10, 0.28569234598913074)	(11, 0.28769511352077154)	(12, 0.2895024890981059)	(13, 0.2917788053657757)	(14, 0.2934200977819496)	(15, 0.2948659982438171)	(16, 0.2964584426714144)	(17, 0.29787503434013596)	(18, 0.2995944835380325)	(19, 0.30133347193135956)	(20, 0.3032092346927012)	(21, 0.3050263798677509)	(22, 0.30666767228392483)	(23, 0.3085238958498358)	(24, 0.31035081062260084)	(25, 0.31226565177480375)	(26, 0.314160953731576)	(27, 0.3159585597111951)	(28, 0.3179808664382665)	(29, 0.31958308046357914)	(30, 0.32113644650031514)	(31, 0.32273866052562783)	(32, 0.3243799529418017)	(33, 0.32616778932370544)	(34, 0.32784816013074064)	(35, 0.3298313884669508)	(36, 0.3316387640442852)	(37, 0.33344613962161956)	(38, 0.3352339760035233)	(39, 0.33710973876486494)
SRR18306573_2 - polya	(1, 0.03456227555698753)	(2, 0.048871251263773965)	(3, 0.06109874538939728)	(4, 0.0753012266897056)	(5, 0.08803214891868)	(6, 0.09933023731503979)	(7, 0.10852748151087681)	(8, 0.11773440701639365)	(9, 0.1267380250186341)	(10, 0.13747459745356383)	(11, 0.14706877534627383)	(12, 0.1566919971680233)	(13, 0.1654148571895487)	(14, 0.1748444528177016)	(15, 0.18439022416201245)	(16, 0.19428452265479712)	(17, 0.2034720855409543)	(18, 0.21358905415637502)	(19, 0.2236576162233966)	(20, 0.23394884841305424)	(21, 0.24456924513182604)	(22, 0.25611904757986137)	(23, 0.26794960800861173)	(24, 0.2795962235534453)	(25, 0.29042960908517335)	(26, 0.30221176296552454)	(27, 0.3137906093425994)	(28, 0.32542754357775316)	(29, 0.33759694984529753)	(30, 0.35009552064195604)	(31, 0.3632233765678034)	(32, 0.3759639801064576)	(33, 0.38870458364511185)	(34, 0.4015516815902442)	(35, 0.41514424038072334)	(36, 0.42829145892593035)	(37, 0.44184529247769017)	(38, 0.45553466436496753)	(39, 0.46883678386505184)
SRR18306573_2 - polyg	(1, 0.2938180674731133)	(2, 0.3041964314498894)	(3, 0.3081464057992594)	(4, 0.3090080423607641)	(5, 0.3101504369029839)	(6, 0.3111766557290457)	(7, 0.3122996876519058)	(8, 0.31388742243939766)	(9, 0.31548483853656933)	(10, 0.31731460606605694)	(11, 0.3193767250278604)	(12, 0.3211580860089488)	(13, 0.32308466663523466)	(14, 0.32439164344201155)	(15, 0.32563085108102957)	(16, 0.32690878395876694)	(17, 0.3281576729074648)	(18, 0.3294065618561626)	(19, 0.331023340572694)	(20, 0.3324852183343481)	(21, 0.33430530455415586)	(22, 0.33573813838677047)	(23, 0.33748077412913957)	(24, 0.3393105416586271)	(25, 0.340675606323483)	(26, 0.34261186825944867)	(27, 0.34400597685334394)	(28, 0.3457873378344324)	(29, 0.3472879408348058)	(30, 0.34868204942870107)	(31, 0.3501245645709955)	(32, 0.35165421150040843)	(33, 0.35346461641053634)	(34, 0.3549942633399492)	(35, 0.35638837193384454)	(36, 0.3578986562438978)	(37, 0.3593314900765124)	(38, 0.3608708183156051)	(39, 0.36215843250302227)
SRR18306574_2 - polya	(1, 0.03332017378412841)	(2, 0.047032781917315414)	(3, 0.05861773982058443)	(4, 0.07321849552681059)	(5, 0.08592583772567854)	(6, 0.09690568409566813)	(7, 0.10583595914325966)	(8, 0.11507854982093091)	(9, 0.12425282145452221)	(10, 0.13476419437939224)	(11, 0.14343095311410403)	(12, 0.15263450433801531)	(13, 0.16189661474256653)	(14, 0.17135392241591757)	(15, 0.1807917103623886)	(16, 0.19090292888621901)	(17, 0.20045783519396998)	(18, 0.21019817890708073)	(19, 0.2203679566115511)	(20, 0.23064509281386134)	(21, 0.24100030792369154)	(22, 0.2525267066463206)	(23, 0.26400430605174974)	(24, 0.27606749726357827)	(25, 0.28791597147972703)	(26, 0.30015484023347544)	(27, 0.3118959559517843)	(28, 0.32381274921201303)	(29, 0.3360808975560814)	(30, 0.34844664453454965)	(31, 0.361827417310777)	(32, 0.37420292415268525)	(33, 0.3875544173385926)	(34, 0.4002129602202606)	(35, 0.41472587715552683)	(36, 0.428272567610234)	(37, 0.44160454106926134)	(38, 0.45501459343580863)	(39, 0.4681513696260362)
SRR18306574_2 - polyg	(1, 0.2976075158756379)	(2, 0.3102367791669859)	(3, 0.3135258531462628)	(4, 0.3145506388074618)	(5, 0.31575110201058065)	(6, 0.3172053216631393)	(7, 0.318571702544738)	(8, 0.32040655687145625)	(9, 0.32230973024225446)	(10, 0.3244373804721724)	(11, 0.32627223479889067)	(12, 0.32844868434600866)	(13, 0.3305665747124866)	(14, 0.3321574324532051)	(15, 0.33344573442728387)	(16, 0.3348316350357626)	(17, 0.3359637791948015)	(18, 0.3374765580280001)	(19, 0.3390186164515186)	(20, 0.340697312963197)	(21, 0.3423174502942355)	(22, 0.3438009495371141)	(23, 0.34555772495631243)	(24, 0.34741209900991066)	(25, 0.3490419962043891)	(26, 0.35099396889238726)	(27, 0.352311550456786)	(28, 0.35440016123294404)	(29, 0.35570798293390277)	(30, 0.35728908081118127)	(31, 0.35879209978093984)	(32, 0.3603341582044584)	(33, 0.361837177174217)	(34, 0.3634963539590154)	(35, 0.364979853201894)	(36, 0.36670734903077234)	(37, 0.3682396475908509)	(38, 0.36966458765308957)	(39, 0.371333524301328)
SRR18306575_2 - polya	(1, 0.03199374543546197)	(2, 0.046300255815630055)	(3, 0.058143986631136964)	(4, 0.0726146823156158)	(5, 0.08513008028512122)	(6, 0.09642155144067381)	(7, 0.10526516896832075)	(8, 0.11414610133785649)	(9, 0.12329570056899164)	(10, 0.133094578048992)	(11, 0.14205760307068313)	(12, 0.1510877948077741)	(13, 0.16004335686108745)	(14, 0.1695362526375996)	(15, 0.1787157037422458)	(16, 0.18886534073600092)	(17, 0.1982015141765801)	(18, 0.20825413258142433)	(19, 0.2175529911801147)	(20, 0.2278294986362918)	(21, 0.23840452482757932)	(22, 0.2498527183190649)	(23, 0.26121881915839507)	(24, 0.2735998836971008)	(25, 0.28454059533889864)	(26, 0.29668284488951596)	(27, 0.30790714932966873)	(28, 0.31963893561950923)	(29, 0.3315199812769049)	(30, 0.34408015705667694)	(31, 0.3568940737612928)	(32, 0.3694841014145758)	(33, 0.382663703569702)	(34, 0.3953432868435181)	(35, 0.40889603741753233)	(36, 0.42285178828394565)	(37, 0.4357030198304503)	(38, 0.4486960477761324)	(39, 0.46206968710908036)
SRR18306575_2 - polyg	(1, 0.2965783633322273)	(2, 0.3064966483062719)	(3, 0.3102505214002857)	(4, 0.31123563322615017)	(5, 0.312086411621215)	(6, 0.31294465298465746)	(7, 0.314146190893477)	(8, 0.3155119141066073)	(9, 0.3172433227702479)	(10, 0.3191538426749547)	(11, 0.3210345107061505)	(12, 0.3228927898322131)	(13, 0.32502719878825276)	(14, 0.3266317369894714)	(15, 0.3281467195701569)	(16, 0.3294676649730206)	(17, 0.3308557770912842)	(18, 0.33228866701981435)	(19, 0.33402753865183266)	(20, 0.3355425212325182)	(21, 0.33700526303455935)	(22, 0.33848293077335606)	(23, 0.3402815061523965)	(24, 0.34203530372117036)	(25, 0.34366969379590007)	(26, 0.3454981210484515)	(27, 0.34709519628129243)	(28, 0.3488415308816885)	(29, 0.35046099501966266)	(30, 0.3518192552644152)	(31, 0.35341633049725607)	(32, 0.3548492204257862)	(33, 0.3566403328364489)	(34, 0.3581553154171344)	(35, 0.35975985361835305)	(36, 0.36124498432552754)	(37, 0.3628047447164796)	(38, 0.364573468222009)	(39, 0.3660362100240502)
SRR18306577_2 - polya	(1, 0.03418730121388097)	(2, 0.04819830025373931)	(3, 0.06040142844974496)	(4, 0.07549019664651548)	(5, 0.08832492074630299)	(6, 0.09993121978552394)	(7, 0.10925450243859758)	(8, 0.11858937400733695)	(9, 0.12832406316654374)	(10, 0.1392697940128185)	(11, 0.14873214365388082)	(12, 0.15759186968032557)	(13, 0.16717590293587795)	(14, 0.1763311463117986)	(15, 0.1859035906516853)	(16, 0.19580631908804505)	(17, 0.20543091354842746)	(18, 0.2156233648764303)	(19, 0.22574628271043878)	(20, 0.23683687500253509)	(21, 0.2481476566922801)	(22, 0.25924404344220925)	(23, 0.2716210053732008)	(24, 0.28341272706307324)	(25, 0.29565641646390894)	(26, 0.30827095116604775)	(27, 0.3200568783980874)	(28, 0.33262505743756327)	(29, 0.3447586521395746)	(30, 0.3577787988900137)	(31, 0.3718883037130306)	(32, 0.3853430348009343)	(33, 0.39913963890097676)	(34, 0.41278558709736485)	(35, 0.42720219818552346)	(36, 0.44197227120148663)	(37, 0.45580943650635913)	(38, 0.47049259265482934)	(39, 0.4851641598876339)
SRR18306577_2 - polyg	(1, 0.18975690511053797)	(2, 0.19504145065410738)	(3, 0.19748671185957478)	(4, 0.19847756414899406)	(5, 0.19958430559507054)	(6, 0.20056936342665693)	(7, 0.2017688161980592)	(8, 0.20337388101776174)	(9, 0.20494417909046714)	(10, 0.20658401065716683)	(11, 0.2080673918623793)	(12, 0.20957395089892322)	(13, 0.21149771089943312)	(14, 0.21270295812866824)	(15, 0.2139951222253963)	(16, 0.21516560270763427)	(17, 0.21652150584052376)	(18, 0.21785423114208186)	(19, 0.21929705114246428)	(20, 0.22083837692600536)	(21, 0.22240288054087787)	(22, 0.22392682295092037)	(23, 0.22546814873446144)	(24, 0.22711956921682688)	(25, 0.22864351162686936)	(26, 0.23065998295270507)	(27, 0.2322824311459062)	(28, 0.23421778006208183)	(29, 0.23567798343596283)	(30, 0.23719613138817247)	(31, 0.23881278512354073)	(32, 0.24025560512392316)	(33, 0.2419997369316144)	(34, 0.2439408803056229)	(35, 0.24563286199281834)	(36, 0.24738278825834242)	(37, 0.24915589235519794)	(38, 0.25102170777737925)	(39, 0.25275425066940477)
SRR18306578_2 - polya	(1, 0.03433637229829834)	(2, 0.04879952928476619)	(3, 0.0607096895005168)	(4, 0.07543101469975382)	(5, 0.087846037198253)	(6, 0.09941771020170626)	(7, 0.10835606743491408)	(8, 0.11798861030690119)	(9, 0.12766704975004728)	(10, 0.1380855714031316)	(11, 0.14704687692191892)	(12, 0.15588770394141394)	(13, 0.16543992781387287)	(14, 0.17465940154542933)	(15, 0.1841886771323088)	(16, 0.19397038386056253)	(17, 0.20364308623231375)	(18, 0.21401571131423913)	(19, 0.22421048718292355)	(20, 0.2347437502639053)	(21, 0.24574171612787152)	(22, 0.25704374677576586)	(23, 0.26869000170735247)	(24, 0.2805714765661287)	(25, 0.29212593835539735)	(26, 0.30435737456926065)	(27, 0.31656012542614964)	(28, 0.3289292513534899)	(29, 0.3409656271399276)	(30, 0.35346670570934985)	(31, 0.3670234054154282)	(32, 0.38049404905058354)	(33, 0.3943203911122208)	(34, 0.4076935045336633)	(35, 0.42186407087899275)	(36, 0.436355913222435)	(37, 0.45025110014081066)	(38, 0.4648806321977298)	(39, 0.4794413193979104)
SRR18306578_2 - polyg	(1, 0.21421077174166472)	(2, 0.22071661070344756)	(3, 0.2234072971876417)	(4, 0.22410721989781587)	(5, 0.22485877625054387)	(6, 0.22574802231674876)	(7, 0.22676922102503566)	(8, 0.22796253187516868)	(9, 0.22940827386667598)	(10, 0.23103186507142423)	(11, 0.23253497777688026)	(12, 0.23413562069604904)	(13, 0.23591984989985368)	(14, 0.23718200560672514)	(15, 0.23830073452872483)	(16, 0.239442411736304)	(17, 0.24060703722946267)	(18, 0.24184624465075463)	(19, 0.2431829822857594)	(20, 0.24452545699215902)	(21, 0.24592530241250737)	(22, 0.24730219954727622)	(23, 0.2485987776825169)	(24, 0.24995272653170628)	(25, 0.2512378305241572)	(26, 0.25279257687216705)	(27, 0.25403752136485386)	(28, 0.2554947374991509)	(29, 0.25679705270578645)	(30, 0.25797888941312974)	(31, 0.2593213641195294)	(32, 0.26080152853940586)	(33, 0.2622185851739388)	(34, 0.2633201028817539)	(35, 0.26445604301793824)	(36, 0.2657181987248097)	(37, 0.2670033027172606)	(38, 0.2686383680647986)	(39, 0.269682515058665)
SRR18306579_2 - polya	(1, 0.03334560717391692)	(2, 0.047515752265543186)	(3, 0.05953662351048371)	(4, 0.07472637021131938)	(5, 0.08750614947220554)	(6, 0.09851900548985948)	(7, 0.10716244640429382)	(8, 0.11604920133910768)	(9, 0.12599611021986087)	(10, 0.13629061055829908)	(11, 0.14555971609656645)	(12, 0.1542726753025378)	(13, 0.16341433063965402)	(14, 0.17264288384119147)	(15, 0.18177874598734628)	(16, 0.19218331695405141)	(17, 0.20174208204038965)	(18, 0.21182802750421686)	(19, 0.22150844960074487)	(20, 0.23195936609514134)	(21, 0.24292008339414253)	(22, 0.25464550190005075)	(23, 0.2667938233461425)	(24, 0.27854241461589635)	(25, 0.29059225181564396)	(26, 0.3028506438900026)	(27, 0.31488310151686594)	(28, 0.3265100357764301)	(29, 0.33945781757519733)	(30, 0.3527242248768426)	(31, 0.3666626423300121)	(32, 0.38047940277299197)	(33, 0.394035469622708)	(34, 0.40752781137184846)	(35, 0.42199920239346844)	(36, 0.43641845469643564)	(37, 0.450548047451332)	(38, 0.46500785209102913)	(39, 0.479311240574768)
SRR18306579_2 - polyg	(1, 0.21346170735533648)	(2, 0.2215490019374748)	(3, 0.2239300034226172)	(4, 0.22485112078548253)	(5, 0.22609665684218722)	(6, 0.2271741903610108)	(7, 0.22824013749791155)	(8, 0.22965946928345876)	(9, 0.23084128023958783)	(10, 0.2325155124274374)	(11, 0.2341433990875956)	(12, 0.23568438788333254)	(13, 0.23756138175483169)	(14, 0.23892278163076472)	(15, 0.2400350742953568)	(16, 0.24129798992494572)	(17, 0.24248559407203624)	(18, 0.24396865095815903)	(19, 0.24556757166351015)	(20, 0.24708538769540145)	(21, 0.24871327435555965)	(22, 0.25016736528687533)	(23, 0.2516446289820367)	(24, 0.25321458373258077)	(25, 0.25471502019158776)	(26, 0.25647035705289717)	(27, 0.25794762074805855)	(28, 0.2595639210262939)	(29, 0.2609774596208797)	(30, 0.2623504458787355)	(31, 0.26376398447332133)	(32, 0.2651543503040614)	(33, 0.2666374071901842)	(34, 0.2679582547293873)	(35, 0.26943551842454866)	(36, 0.27079112510952025)	(37, 0.27210617945776194)	(38, 0.27373985930888156)	(39, 0.27487532473731935)
SRR18306580_2 - polya	(1, 0.03300380050828884)	(2, 0.04706917857725757)	(3, 0.059047774487630864)	(4, 0.0738301196110891)	(5, 0.08594278253165147)	(6, 0.09715195038354824)	(7, 0.10601203105691435)	(8, 0.11528014176129077)	(9, 0.12482804448693138)	(10, 0.13537270628832568)	(11, 0.14415700995593275)	(12, 0.15276061460980672)	(13, 0.1621278183217142)	(14, 0.1716582340460258)	(15, 0.18103709575881927)	(16, 0.1913544265429364)	(17, 0.20104805427965214)	(18, 0.21158688708060341)	(19, 0.22086665578586584)	(20, 0.23118981557042598)	(21, 0.2422066264077036)	(22, 0.2538937722959267)	(23, 0.26538273216908764)	(24, 0.27695912704889364)	(25, 0.289013499965026)	(26, 0.302012170952925)	(27, 0.3137051458415911)	(28, 0.32607428478164563)	(29, 0.3384900557252442)	(30, 0.3519142437454825)	(31, 0.3659155028095782)	(32, 0.37941546783557556)	(33, 0.393072815873534)	(34, 0.406112289864534)	(35, 0.42033505094546386)	(36, 0.4345869570286087)	(37, 0.4481510410594791)	(38, 0.4622921961342069)	(39, 0.4760836111823544)
SRR18306580_2 - polyg	(1, 0.21393597425913405)	(2, 0.2202196367366924)	(3, 0.22308167595420736)	(4, 0.2238685910140129)	(5, 0.22475459908134954)	(6, 0.22573970015621722)	(7, 0.22668399822798385)	(8, 0.22796054932500176)	(9, 0.22932453542866468)	(10, 0.23077012753852968)	(11, 0.23213411364219264)	(12, 0.23344563874186855)	(13, 0.23503695586280865)	(14, 0.23619109795052345)	(15, 0.23732775303690923)	(16, 0.23846440812329503)	(17, 0.23963020821189582)	(18, 0.2410291683182168)	(19, 0.24238149642099374)	(20, 0.24369885052111265)	(21, 0.2450978106274336)	(22, 0.24642099372799553)	(23, 0.24774417682855743)	(24, 0.24932383594861154)	(25, 0.2507461120567045)	(26, 0.2521800461656835)	(27, 0.2534682552635874)	(28, 0.25474480636060526)	(29, 0.2559397514514211)	(30, 0.25718132854578096)	(31, 0.2583529576348248)	(32, 0.2597402597402597)	(33, 0.2611275618456947)	(34, 0.2624332579449276)	(35, 0.2636282030357434)	(36, 0.26496887313763434)	(37, 0.2663561752430693)	(38, 0.2677376483480613)	(39, 0.2689908834433071)
SRR18306581_2 - polya	(1, 0.03388171671917597)	(2, 0.047834743413258864)	(3, 0.05978607007527923)	(4, 0.07453388942915165)	(5, 0.08692676756883287)	(6, 0.09795377980428319)	(7, 0.10685545759392595)	(8, 0.11623401097944243)	(9, 0.1256596631892427)	(10, 0.13604495394382593)	(11, 0.14527043615041998)	(12, 0.15394839452471457)	(13, 0.1631562146722022)	(14, 0.17252299335164772)	(15, 0.18242552115732172)	(16, 0.19231038690388932)	(17, 0.20253083177347914)	(18, 0.2127748260552109)	(19, 0.22294228474748143)	(20, 0.23332168814902915)	(21, 0.24460774391804052)	(22, 0.25594678586437114)	(23, 0.26695613604071505)	(24, 0.2787249547586356)	(25, 0.28995802435032764)	(26, 0.3021036336625188)	(27, 0.31403729826543275)	(28, 0.32707189788598107)	(29, 0.3397002701470814)	(30, 0.35266422153120397)	(31, 0.3668762917588479)	(32, 0.38081165639382436)	(33, 0.39404053866454347)	(34, 0.40812308712540685)	(35, 0.42264129971089565)	(36, 0.4370123284704975)	(37, 0.45105366546011255)	(38, 0.465654300988098)	(39, 0.47997234357038054)
SRR18306581_2 - polyg	(1, 0.19198658248693803)	(2, 0.19734407374922303)	(3, 0.19998749526215265)	(4, 0.20090003498265174)	(5, 0.20189499764564753)	(6, 0.2029488338389981)	(7, 0.20400267003234865)	(8, 0.20533321181836667)	(9, 0.20688747301973287)	(10, 0.2085359318696667)	(11, 0.21019616542567152)	(12, 0.21179163809828605)	(13, 0.21350485783161016)	(14, 0.21479418814637985)	(15, 0.21602464493079476)	(16, 0.21730220053949348)	(17, 0.21855031938301483)	(18, 0.21993973469938763)	(19, 0.22138802354611523)	(20, 0.22280098827462994)	(21, 0.224390573594209)	(22, 0.22598604626682356)	(23, 0.22745199717265757)	(24, 0.22925941455454932)	(25, 0.23073125281341883)	(26, 0.23244447254674294)	(27, 0.23412236816185417)	(28, 0.23613584289998765)	(29, 0.23766655468921194)	(30, 0.2391501676541524)	(31, 0.2407809644449798)	(32, 0.24243531064794913)	(33, 0.24401312126145724)	(34, 0.2454967342263977)	(35, 0.24716874248847345)	(36, 0.24894083575215234)	(37, 0.2507659151931505)	(38, 0.25246736022040367)	(39, 0.2541629178946213)
SRR18306582_2 - polya	(1, 0.03361202772334027)	(2, 0.04812287019454316)	(3, 0.0595754259144889)	(4, 0.07434840725008525)	(5, 0.08619708392067002)	(6, 0.09721274153329333)	(7, 0.10630604747369786)	(8, 0.11555663673273847)	(9, 0.12478392475938856)	(10, 0.13535685895659177)	(11, 0.14431618281075076)	(12, 0.15329880789730027)	(13, 0.16250279469155984)	(14, 0.17134561238376617)	(15, 0.1811379552958866)	(16, 0.19144292532059876)	(17, 0.20160226264287004)	(18, 0.21155188887362658)	(19, 0.22172870212019077)	(20, 0.2318181357452905)	(21, 0.2431192334546978)	(22, 0.2542106200725903)	(23, 0.2656282239439503)	(24, 0.27694097226955283)	(25, 0.28878964894013764)	(26, 0.3013373625824383)	(27, 0.31267341214043143)	(28, 0.32497646284263154)	(29, 0.337384369090589)	(30, 0.349990335813866)	(31, 0.36326038766027313)	(32, 0.37679257837107377)	(33, 0.3900859314498714)	(34, 0.40290743457276085)	(35, 0.4169988548609342)	(36, 0.4311077510734004)	(37, 0.4444127547683933)	(38, 0.4587779645371554)	(39, 0.4729858909872814)
SRR18306582_2 - polyg	(1, 0.21417327751756127)	(2, 0.22084325528935062)	(3, 0.22351124639806638)	(4, 0.2243034882993444)	(5, 0.2250899048925248)	(6, 0.22592874925858392)	(7, 0.22698895533235305)	(8, 0.22828799903812513)	(9, 0.22969772359775223)	(10, 0.23114822531406276)	(11, 0.23250552210081116)	(12, 0.2339618491252193)	(13, 0.2354240014577251)	(14, 0.2365308099962753)	(15, 0.2377657753129734)	(16, 0.23909977086733128)	(17, 0.24028230841115072)	(18, 0.24137746633350565)	(19, 0.2427289378121564)	(20, 0.2441561382960764)	(21, 0.24544935669375084)	(22, 0.24676005101571818)	(23, 0.2480124922567092)	(24, 0.2494222168163363)	(25, 0.2507969895273776)	(26, 0.2523115696327621)	(27, 0.2536047880304365)	(28, 0.25510771751962574)	(29, 0.2563310322201286)	(30, 0.2574553166829717)	(31, 0.25891164370737985)	(32, 0.26031554295890935)	(33, 0.2617019662861459)	(34, 0.26300100999191794)	(35, 0.2641485956871516)	(36, 0.2654884165496071)	(37, 0.2668107614877697)	(38, 0.26830204036076366)	(39, 0.26947875259648546)
