Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR18306566_1	(1.0, 65.873962979283)	(2.0, 2.573088664106042)	(3.0, 0.09938554394655957)	(4.0, 0.013985255445876256)	(5.0, 0.01336724026032569)	(6.0, 0.013448814988292366)	(7.0, 0.00783357288596091)	(8.0, 0.007881179054838356)	(9.0, 0.006487342780509002)	('>10', 0.04926229284171564)	('>50', 0.012068899568795857)	('>100', 0.021542707035099383)	('>500', 0.006701149289834085)	('>1k', 0.04738669854954103)	('>5k', 0.0)	('>10k+', 31.253597659963596)
SRR18306566_2	(1.0, 39.18430455823029)	(2.0, 6.172364687330441)	(3.0, 2.9413699058269795)	(4.0, 1.953567457179925)	(5.0, 1.4074206876985438)	(6.0, 1.1260345260805908)	(7.0, 0.9916352558276651)	(8.0, 0.8444941238441148)	(9.0, 0.733653420967222)	('>10', 10.869912081432906)	('>50', 6.28104652836865)	('>100', 19.310825914702875)	('>500', 4.908630176454587)	('>1k', 2.94720587888282)	('>5k', 0.3275347971723609)	('>10k+', 0.0)
SRR18306567_1	(1.0, 65.9344221388583)	(2.0, 2.545401672780245)	(3.0, 0.10291833070378328)	(4.0, 0.01749209728007558)	(5.0, 0.016895786765890746)	(6.0, 0.007791473757040987)	(7.0, 0.009977211031275683)	(8.0, 0.010038245222572392)	(9.0, 0.002164183642074607)	('>10', 0.04766539955090689)	('>50', 0.008848625274461357)	('>100', 0.01797368494526368)	('>500', 0.013447187201064017)	('>1k', 0.04721738751166064)	('>5k', 0.0)	('>10k+', 31.21774657547541)
SRR18306567_2	(1.0, 39.187159623345885)	(2.0, 6.400100934700434)	(3.0, 2.915931381570773)	(4.0, 1.8244257854395172)	(5.0, 1.4297753591206523)	(6.0, 1.115758274184232)	(7.0, 1.0163878717469848)	(8.0, 0.8532215611878861)	(9.0, 0.7132775232193465)	('>10', 10.855499501418176)	('>50', 6.367408713970526)	('>100', 19.204378581094847)	('>500', 4.860434974362125)	('>1k', 2.9322438011157437)	('>5k', 0.3239961135228193)	('>10k+', 0.0)
SRR18306568_1	(1.0, 65.71170608999581)	(2.0, 2.7153240264885325)	(3.0, 0.10539776913709828)	(4.0, 0.01881304316620211)	(5.0, 0.018904407113718533)	(6.0, 0.011960484719840585)	(7.0, 0.007776598171946082)	(8.0, 0.004972659030737044)	(9.0, 0.003569035486093025)	('>10', 0.06928840502250527)	('>50', 0.0137588223352722)	('>100', 0.022251573078912734)	('>500', 0.00661006229552603)	('>1k', 0.05536177300995565)	('>5k', 0.0)	('>10k+', 31.23430525094779)
SRR18306568_2	(1.0, 37.5607563888077)	(2.0, 6.293288882969457)	(3.0, 2.9491514065245714)	(4.0, 2.016223496674211)	(5.0, 1.4326926903426838)	(6.0, 1.1612544558144262)	(7.0, 0.9565464349096543)	(8.0, 0.8298285708238583)	(9.0, 0.7340459258503694)	('>10', 10.744407134723485)	('>50', 5.777515316627479)	('>100', 19.13943735887024)	('>500', 6.0598190202131255)	('>1k', 3.9681727612357296)	('>5k', 0.15121110799244564)	('>10k+', 0.22564904762057514)
SRR18306569_1	(1.0, 65.56087897146627)	(2.0, 2.8981640438297562)	(3.0, 0.1213959063917905)	(4.0, 0.020910737338230324)	(5.0, 0.011205901708185882)	(6.0, 0.009852132209416014)	(7.0, 0.008485070331641708)	(8.0, 0.00568372200530703)	(9.0, 0.0021415556905413123)	('>10', 0.06065336484514015)	('>50', 0.01891079578003283)	('>100', 0.02804877392207341)	('>500', 0.006580057091088664)	('>1k', 0.04828232272348927)	('>5k', 0.0)	('>10k+', 31.198806644667066)
SRR18306569_2	(1.0, 37.56449911493654)	(2.0, 6.294783966480143)	(3.0, 3.0084153228023918)	(4.0, 1.951279795930917)	(5.0, 1.4687407012658162)	(6.0, 1.2008719946179665)	(7.0, 0.9703518264410512)	(8.0, 0.8294695869718745)	(9.0, 0.739377109055069)	('>10', 10.524438697824454)	('>50', 5.628610142747073)	('>100', 19.066259628232824)	('>500', 6.236543871809105)	('>1k', 4.188987746491926)	('>5k', 0.0960786420739301)	('>10k+', 0.23129185231896005)
SRR18306570_1	(1.0, 65.57009566772071)	(2.0, 2.8428222281876985)	(3.0, 0.11648553032311997)	(4.0, 0.027869518037818345)	(5.0, 0.013302289339195094)	(6.0, 0.009145680345992956)	(7.0, 0.014845279963630102)	(8.0, 0.0106549972861662)	(9.0, 0.006423831431416507)	('>10', 0.05591469194800913)	('>50', 0.010076828918007225)	('>100', 0.02174517079877607)	('>500', 0.006494187786764501)	('>1k', 0.05426714003744997)	('>5k', 0.0)	('>10k+', 31.23985695787525)
SRR18306570_2	(1.0, 37.510525531813514)	(2.0, 6.446096342450248)	(3.0, 2.9659941608982563)	(4.0, 1.9268767483561284)	(5.0, 1.4498273953794727)	(6.0, 1.1684995592433955)	(7.0, 0.9108963342642405)	(8.0, 0.8128140471186202)	(9.0, 0.7226699841406902)	('>10', 10.629193385962534)	('>50', 5.748442651361482)	('>100', 19.089234968392542)	('>500', 6.214454871990547)	('>1k', 4.072273534801742)	('>5k', 0.09533435704790372)	('>10k+', 0.2368661267787965)
