Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR18306565_1	(1, 31.0708398036227)	(2, 31.04033325082021)	(3, 31.040080573684907)	(4, 31.039903699690193)	(5, 31.03984474169195)	(6, 31.03986158683431)	(7, 31.03984474169195)	(8, 31.03984474169195)	(9, 31.039878431976664)	(10, 31.03984474169195)	(11, 31.03984474169195)	(12, 31.04002161568667)	(13, 31.03984474169195)	(14, 31.03984474169195)	(15, 31.03984474169195)	(16, 31.03984474169195)	(17, 31.039928967403725)	(18, 31.03984474169195)	(19, 31.03986158683431)	(20, 31.039928967403725)	(21, 31.039979502830782)	(22, 31.040131109111968)	(23, 31.040232179966086)	(24, 31.040030038257843)	(25, 31.04150398821379)	(26, 31.049227485982943)	(27, 31.050962535645375)	(28, 31.056260332915603)																						
SRR18306565_2	(1, 0.05553843434003554)	(2, 0.05520995406413906)	(3, 0.06296714211800207)	(4, 0.07279628268136595)	(5, 0.0825327749617847)	(6, 0.09104799442156265)	(7, 0.09369268177108815)	(8, 0.1054842814186541)	(9, 0.11127058781713822)	(10, 0.11902777587100126)	(11, 0.12457825027653406)	(12, 0.12984235726205456)	(13, 0.13162794235154313)	(14, 0.13647934334939882)	(15, 0.13434843284166012)	(16, 0.14043795180251026)	(17, 0.1266417802148581)	(18, 0.133800965715166)	(19, 0.1311394332232868)	(20, 0.1242497700006376)	(21, 0.11613041138617075)	(22, 0.11926360786395256)	(23, 0.11533026712437164)	(24, 0.10990613128649132)	(25, 0.10744674050285614)	(26, 0.09525928000997906)	(27, 0.09328839835460018)	(28, 0.09311152435988669)	(29, 0.030801150134328405)	(30, 0.03347256357954179)	(31, 0.0285259002955317)	(32, 0.02972268323608642)	(33, 0.027430537325882454)	(34, 0.026402447801020773)	(35, 0.02809638560308841)	(36, 0.029402636023428734)	(37, 0.026259291457572703)	(38, 0.02642788310212447)	(39, 0.026158334273679383)	(40, 0.024607900079790274)	(41, 0.02224936719934236)	(42, 0.022081111000143695)	(43, 0.025614041653033656)	(44, 0.02255730744649088)	(45, 0.025947752846178396)	(46, 0.02640454583632474)	(47, 0.025790108390565742)	(48, 0.02277997505579704)	(49, 0.024182312849663486)	(50, 0.031730999417324)
SRR18306566_1	(1, 31.045273135372447)	(2, 31.037192860973335)	(3, 31.035299958714717)	(4, 31.035299958714717)	(5, 31.035299958714717)	(6, 31.063510039511627)	(7, 31.035299958714717)	(8, 31.035299958714717)	(9, 31.035917028173472)	(10, 31.035299958714717)	(11, 31.035299958714717)	(12, 31.035299958714717)	(13, 31.035299958714717)	(14, 31.035299958714717)	(15, 31.035299958714717)	(16, 31.035299958714717)	(17, 31.035299958714717)	(18, 31.035299958714717)	(19, 31.035299958714717)	(20, 31.035299958714717)	(21, 31.0359920771617)	(22, 31.035400024032356)	(23, 31.036142175138153)	(24, 31.035700219985262)	(25, 31.037884979420316)	(26, 31.040711824643534)	(27, 31.041003681819973)	(28, 31.043496975984407)																						
SRR18306566_2	(1, 0.0722054654509064)	(2, 0.027126039855849236)	(3, 0.029043958443874238)	(4, 0.03284644051404554)	(5, 0.0357066408431437)	(6, 0.04144371905427935)	(7, 0.043653494818742936)	(8, 0.05089989157088956)	(9, 0.0597723497346226)	(10, 0.062257305122585434)	(11, 0.0704209672863962)	(12, 0.06846135481602283)	(13, 0.0721470940156187)	(14, 0.07884313152076684)	(15, 0.08357121777907196)	(16, 0.08306255241442184)	(17, 0.08375467086140478)	(18, 0.06991230192174609)	(19, 0.07261406549792043)	(20, 0.0757244291211088)	(21, 0.062382386769630545)	(22, 0.07949355608540142)	(23, 0.0668686485103151)	(24, 0.060047529358121854)	(25, 0.05359331637059424)	(26, 0.05068308338267804)	(27, 0.05188386719431108)	(28, 0.0487484872417137)	(29, 0.0166737037092026)	(30, 0.015822941864409648)	(31, 0.023321543275600834)	(32, 0.014113049866776813)	(33, 0.0131037953212194)	(34, 0.016423540162895826)	(35, 0.01282021339774858)	(36, 0.01587304235258006)	(37, 0.01553106396296033)	(38, 0.012428191743143142)	(39, 0.010067704688447497)	(40, 0.011410714661066742)	(41, 0.010101663104113446)	(42, 0.01264598775174358)	(43, 0.00947671751531812)	(44, 0.010220442001995197)	(45, 0.011426286886603909)	(46, 0.013819287665015789)	(47, 0.010008612276520158)	(48, 0.009285130096279062)	(49, 0.009277391706509805)	(50, 0.010964552422494786)
SRR18306567_1	(1, 31.088487795530824)	(2, 31.04928093987438)	(3, 31.049457585222758)	(4, 31.049247293141356)	(5, 31.049179999675307)	(6, 31.049499643639038)	(7, 31.049179999675307)	(8, 31.049179999675307)	(9, 31.049255704824613)	(10, 31.049179999675307)	(11, 31.049179999675307)	(12, 31.049196823041818)	(13, 31.049179999675307)	(14, 31.049179999675307)	(15, 31.049179999675307)	(16, 31.049179999675307)	(17, 31.049322998290663)	(18, 31.049179999675307)	(19, 31.049348233340428)	(20, 31.049659465620906)	(21, 31.049423938489735)	(22, 31.04931458660741)	(23, 31.049491231955784)	(24, 31.049415526806477)	(25, 31.050988511575362)	(26, 31.057759916596478)	(27, 31.05934972473187)	(28, 31.065734192323212)																						
SRR18306567_2	(1, 0.037145993258708807)	(2, 0.030349353187821865)	(3, 0.03196439637298312)	(4, 0.03499260234516047)	(5, 0.0404433730950797)	(6, 0.04834194367250894)	(7, 0.05021774903860769)	(8, 0.05924348517234739)	(9, 0.06642706267301254)	(10, 0.07229841758573419)	(11, 0.07658837604631877)	(12, 0.08150921075110697)	(13, 0.08393177552884884)	(14, 0.0888105518173568)	(15, 0.08527764484981655)	(16, 0.09187240452255832)	(17, 0.08023063489618763)	(18, 0.08860867141921162)	(19, 0.08518511633400003)	(20, 0.07948199508639935)	(21, 0.07183577500665154)	(22, 0.07553691563931274)	(23, 0.06980855934194392)	(24, 0.06051364934401068)	(25, 0.05772097050300267)	(26, 0.051109387463748795)	(27, 0.050116808839535114)	(28, 0.04998222190743835)	(29, 0.012629778122312963)	(30, 0.015002598318766594)	(31, 0.012141771463420874)	(32, 0.012882234666354329)	(33, 0.01103951692689467)	(34, 0.0101896854971662)	(35, 0.011847308389139654)	(36, 0.01310103964364499)	(37, 0.00992044459747228)	(38, 0.010517874033060287)	(39, 0.010315970780391408)	(40, 0.009112808746882774)	(41, 0.0066393094579613905)	(42, 0.006235478424865977)	(43, 0.008710017024506706)	(44, 0.007928375293263616)	(45, 0.01007854359740521)	(46, 0.009625408921843787)	(47, 0.009631291787481353)	(48, 0.0067989324982209165)	(49, 0.007943707946135707)	(50, 0.010255712011582686)
SRR18306568_1	(1, 31.08331081540326)	(2, 31.051906177317512)	(3, 31.051747032192072)	(4, 31.0515282076446)	(5, 31.05146189717567)	(6, 31.051508314503923)	(7, 31.05146189717567)	(8, 31.05146189717567)	(9, 31.051488421363242)	(10, 31.05146189717567)	(11, 31.05146189717567)	(12, 31.051561362879067)	(13, 31.05146189717567)	(14, 31.05146189717567)	(15, 31.05146189717567)	(16, 31.05146189717567)	(17, 31.051475159269458)	(18, 31.05146189717567)	(19, 31.051488421363242)	(20, 31.05149505241014)	(21, 31.051594518113536)	(22, 31.051707245910716)	(23, 31.051833235801684)	(24, 31.05164093544179)	(25, 31.053159445180306)	(26, 31.0607652559667)	(27, 31.062277134658327)	(28, 31.068384328846875)																						
SRR18306568_2	(1, 0.0564036848727585)	(2, 0.05611191880946184)	(3, 0.06418190287837168)	(4, 0.07446002556268577)	(5, 0.08426071287069624)	(6, 0.09271529765940623)	(7, 0.09512899872849676)	(8, 0.10703172790162178)	(9, 0.11301956324609638)	(10, 0.12128847872179939)	(11, 0.12572464909328723)	(12, 0.130910127763696)	(13, 0.13327741150453482)	(14, 0.13848278331562291)	(15, 0.13516062882217686)	(16, 0.14191766560625174)	(17, 0.12791289456801216)	(18, 0.13510094940013892)	(19, 0.13209708515756197)	(20, 0.12564507653056994)	(21, 0.11738942314865315)	(22, 0.12083756753306821)	(23, 0.11670642531866325)	(24, 0.111116452787775)	(25, 0.10823857843616706)	(26, 0.09671381893594906)	(27, 0.09451894241433101)	(28, 0.0943796904295758)	(29, 0.031448406103220035)	(30, 0.034195190579802213)	(31, 0.02927893798066754)	(32, 0.03059935728080258)	(33, 0.028151206812976864)	(34, 0.026811030008648398)	(35, 0.02864229548127151)	(36, 0.029989189295345612)	(37, 0.026439592696249948)	(38, 0.02671830835090779)	(39, 0.02635353465788375)	(40, 0.025186038972542308)	(41, 0.022320824293974546)	(42, 0.022314467445295385)	(43, 0.025865991470062237)	(44, 0.02274348704709634)	(45, 0.026543318356961956)	(46, 0.027022848995176693)	(47, 0.026208618734994662)	(48, 0.023049355158221412)	(49, 0.02472683191882855)	(50, 0.032181617322837135)
SRR18306569_1	(1, 31.081643031829792)	(2, 31.07356648719884)	(3, 31.071294548627858)	(4, 31.071294548627858)	(5, 31.071294548627858)	(6, 31.09896492185943)	(7, 31.071294548627858)	(8, 31.071294548627858)	(9, 31.072095636794504)	(10, 31.071294548627858)	(11, 31.071294548627858)	(12, 31.071294548627858)	(13, 31.071294548627858)	(14, 31.071294548627858)	(15, 31.071294548627858)	(16, 31.071294548627858)	(17, 31.071294548627858)	(18, 31.071294548627858)	(19, 31.071294548627858)	(20, 31.071294548627858)	(21, 31.072095636794504)	(22, 31.07140617566747)	(23, 31.07224009531636)	(24, 31.071773888268556)	(25, 31.07407865832178)	(26, 31.0768627680157)	(27, 31.07703349172335)	(28, 31.07959434733804)																						
SRR18306569_2	(1, 0.07274799834660656)	(2, 0.02737488989141644)	(3, 0.02921345289683659)	(4, 0.032995639650843754)	(5, 0.03588481008793256)	(6, 0.04169598244434982)	(7, 0.04425027176259424)	(8, 0.050862532285658846)	(9, 0.059352753592831174)	(10, 0.06245204551625372)	(11, 0.07036443273600829)	(12, 0.06912996900379761)	(13, 0.07184841573324027)	(14, 0.07846724255275281)	(15, 0.08387130452939845)	(16, 0.08270907005811501)	(17, 0.0832934704419807)	(18, 0.07034473384666451)	(19, 0.07197317536575092)	(20, 0.07586042286292495)	(21, 0.06264246811324366)	(22, 0.07857230329591967)	(23, 0.06675953598609521)	(24, 0.06054125324990634)	(25, 0.05281928862714172)	(26, 0.05075090524604406)	(27, 0.051978802681806796)	(28, 0.04869565445784224)	(29, 0.016433319441858264)	(30, 0.01614435178555677)	(31, 0.023388973606321604)	(32, 0.014088565385360357)	(33, 0.013274134590135316)	(34, 0.016709259734473837)	(35, 0.012604207204233806)	(36, 0.01580288612194613)	(37, 0.015474482374952095)	(38, 0.012006517673751651)	(39, 0.010180619961660442)	(40, 0.011546896623747855)	(41, 0.010384839421875135)	(42, 0.012802188970687585)	(43, 0.009327961741167849)	(44, 0.010268602463571098)	(45, 0.011560841045599532)	(46, 0.013441313861784213)	(47, 0.010182259132544252)	(48, 0.009226941396195319)	(49, 0.009309928763068485)	(50, 0.011173013676121262)
